Gender,Age,Song-Artist,Mood,Time of the day,Location,Activity
male,27,"She Dreamt She Was A Bulldozer, She Dreamt She Was Alone In An Empty Field - GSYBE",calm,morning,home,amusing
male,27,I'm Not Human At All - Sleep Party People,calm,morning,home,amusing
male,27,Gymnopédies - Erik Satie,calm,morning,home,amusing
male,27,Shemyaza - Sabazius,relaxed,morning,work,working
male,27,State of Non-Return - Om,relaxed,morning,work,working
male,27,Come To Daddy - Aphex Twin,nervous,morning,work,working
male,27,My So-Called Life - Venetian Snares,nervous,morning,work,working
male,27,Victim - Primitive Man,nervous,midday,work,working
male,27,We Hate You - Electric Wizard,excited,midday,work,working
male,27,I am nothing - Electric Wizard,excited,midday,work,working
male,27,Death - Bongripper,bored,afternoon,work,working
male,27,Go and Hope - Emptiness,bored,afternoon,work,working
male,27,Nocturne op.9 No.2 - Chopin,peaceful,afternoon,outdoor,commuting
male,27,Piano Quartet in A minor - Gustav Mahler,peaceful,afternoon,outdoor,commuting
male,27,Sarajevo - Max Richter,sad,night,home,studying
male,27,Down - Low,sad,night,home,studying
male,27,Washer - Slint,sad,night,home,studying
male,27,D - Codeine,sad,night,home,studying
male,27,"I Love You, I'm Going to Blow up Your School - Mogwai",sad,night,home,studying
male,27,Für Alina - Arvo Pärt,sad,night,home,studying
male,27,Prepare For Disappointment - Matt Elliott,sad,night,home,amusing
male,27,A Room Between The Rooms - Kammarheit,sleepy,night,home,amusing
male,27,Geometry of Emptiness - Arktau Eos,sleepy,night,home,amusing
male,27,Goetia - Lustmord,sleepy,night,home,amusing
male,27, Mondo '77 - Looper,happy,morning,home,amusing
male,27,Constantinople - The Residents,happy,afternoon,outdoor,amusing
male,27,Anemone - Brian Jonestown Massacre,happy,midday,other,amusing
male,27,Wrap It Up - Sam & Dave,excited,afternoon,other,amusing
