Gender,Age,Song-Artist,Mood,Time of the day,Location,Activity
,,Spiderbait - Black Betty,Excited,Morning,Outdoor,working out
,,AC/DC - Hells Bells,Relaxed,Morning,Home,amusing
,,Guns N' Roses - Welcome To The Jungle,Calm,Morning,Home,amusing
,,Pegboard Nerds - Swamp Thing,Nervous,Morning,Outdoor,working out
,,Ed Sheeran - Galway Girl,Peaceful,Morning,Outdoor,commuting
,,KONGOS - Come with Me Now,Relaxed,Morning,Work,Working
,,K/DA - POP/STARS,Relaxed,Morning,Home,Gaming
,,Imagine Dragons - Radioactive,Bored,Morning,Home,Gaming
,,Pegboard Nerds - Hero,Excited,Midday,Home,studing
,,Coolio - Gangsta's Paradise,Nervous,Midday,Work,Working
,,Roundtable Rival - Lindsey Stirling,Relaxed,Midday,Work,Working
,,Twice - Likey,Bored,Midday,Work,Working
,,Chuck Berry - Johnny B Goode,Peaceful,Midday,Home,amusing
,,Ikimono Gakari - Blue Bird,Pleased,Midday,Home,studing
,,Lukas Graham - 7 Years,Calm,Afternoon,Work,Working
,,Bruno Mars - 24K Magic,Bored,Afternoon,Work,Working
,,Mark Ronson - Uptown Funk,Bored,Afternoon,Outdoor,commuting
,,Maroon 5 - Moves Like Jagger,Annoying,Afternoon,Outdoor,commuting
,,The Who - Baba O'Riley,Pleased,Afternoon,Work,Working
,,Nobodyknows+ - Hero's Come Back,Annoying,Afternoon,Home,studing
,,Michael Jackson - Beat It,Angry,Afternoon,Home,working out
,,Undertale - Megalovania,Excited,Afternoon,Home,Gaming
,,League of Legends - Warriors (ft. Imagine Dragons),Pleased,Afternoon,Home,Gaming
,,Bleed It Out - Linkin Park,Angry,Afternoon,Outdoor,commuting
,,Earth Angel - Marvin Berry & The Starlighters,Sleepy,Night,Home,amusing
,,That's Life - Frank Sinatra,Calm,Night,Home,amusing
,,Black Sabbath - Iron Man,Nervous,Night,Home,amusing
,,Rag'n'Bone Man - Human,Sad,Night,Home,amusing
