Gender,Age,Song-Artist,Mood,Time of the day,Location,Activity
female,33,Deep Purple - Smoke On The Water,relaxed,morning,work,working
female,33,Queen - Under Pressure,relaxed,morning,outdoor,amusing
female,33,AC/DC - You Shook Me All Night Long,relaxed,morning,work,other
female,33,Sin Boy - Sientelo,happy,morning,work,working
female,33,The Verve - The Drugs Don’t Work,relaxed,morning,work,working
female,33,Oasis - Wonderwall  Remastered,relaxed,morning,work,working
female,33,Paul Weller - You Do Something To Me,relaxed,morning,work,working
female,33,Stereophonics - All In One night,relaxed,midday,home,working
female,33,Chris Cornell - Billie Jean,relaxed,midday,home,amusing
female,33,Ed Sheeran - I Don’t Care,relaxed,midday,home,amusing
female,33,David Guetta - Flames,relaxed,midday,home,working
female,33,The Police - Every Breath You Take,relaxed,night,home,working
female,33,Red Hot Chili Peppers - Road Trippin’,relaxed,midday,home,amusing
female,33,Led Zeppelin - Whole Lotta Love,relaxed,morning,work,amusing
female,33,The Rolling Stones - Wild Horses,relaxed,morning,work,working
female,33,AC/DC - Highway to Hell,happy,midday,home,amusing
