Gender,Age,Song-Artist,Mood,Time of the day,Location,Activity
female,29,"Jazz Music - Relaxing Cafe Music - Background Music for Study, Work",sleepy,morning,work,working
female,29,Gerry Mulligan - Night Lights,sleepy,morning,work,working
female,29,"Gerry Mulligan - Morning Of The Carnival From ""Blac. Orpheus""",sleepy,morning,work,working
female,29,Gerry Mulligan - In The Wee Small Hours Of The Morning,sleepy,morning,work,working
female,29,Gerry Mulligan - Prelude In E Minor,sleepy,morning,work,working
female,29,Gerry Mulligan - Festival Minor,sleepy,morning,work,working
female,29,Gerry Mulligan - Tell Me When,sleepy,morning,work,working
female,29,John Coltrane - In A Sentimental Mood,sleepy,midday,work,working
female,29,John Coltrane - My Favorite Things,sleepy,midday,work,working
female,29,Nightwish - Wish I Had An Anger,calm,afternoon,work,working
female,29,Nightwish - High Hopes,calm,afternoon,work,working
female,29,Nightwish - Gethsemane,calm,afternoon,work,working
female,29,Nightwish - Dark Chest of Wonders,calm,afternoon,work,working
female,29,Nightwish - Amaranth,calm,afternoon,work,working
female,29,Nightwish - The Islander,calm,afternoon,work,working
female,29,Nightwish - Ever Dream,calm,afternoon,work,working
female,29,"Winter Morning Jazzy Cafe - Sweet Instrumental Bossa Nova Jazz for Relax, Study, Work",calm,morning,work,working
female,29,Bill Evans - Live in Switzerland (1975 Album),relaxed,midday,work,working
female,29,Nas - Memory Lane (Sittin' In Da Park),relaxed,midday,work,working
female,29,CapD - Redemtion,relaxed,midday,work,working
female,29,Raekwon - Sneaker,relaxed,midday,work,working
female,29,Keith Murray - What A Feelin',relaxed,midday,work,working
female,29,Pete Rock - Da Two ft. CL Smooth,relaxed,midday,work,working
female,29,LL Cool J - Papa Luv It,relaxed,midday,work,working
female,29,A Tribe Called Quest - Bonita Applebum,relaxed,midday,work,working
female,29,AZ - Sugar Hill,relaxed,midday,work,working
female,29,Afu-ra - Whirlwind truh cities,relaxed,midday,work,working
female,29,Group home - Up Against Tha Wall,relaxed,midday,work,working
female,29,Cormega - raps a hustle,relaxed,midday,work,working
female,29,Marco Polo & Critically Acclaimed - For the future,relaxed,midday,work,working
female,29,Big L - Street Struck,relaxed,midday,work,working
female,29,EDO.G - Nothing Ventured,relaxed,midday,work,working
female,29,Cella Dwellas - Perfect match,relaxed,midday,work,working
female,29,Camp Lo - Coolie high,relaxed,afternoon,work,working
female,29,O.C - Cant go wrong (remix feat. Changing faces),relaxed,afternoon,work,working
female,29,Invisible Inc. - Pure,excited,afternoon,work,working
female,29,Godfather Don - Do My Thing,excited,afternoon,work,working
female,29,Distortionists - Dope Compensation,excited,afternoon,work,working
female,29,K Mack - In Baltimore ,excited,afternoon,work,working
female,29,Ghetto Chilldren - I'm an MC ,excited,afternoon,work,working
female,29,Cipher Complete - Last Breath ,excited,afternoon,work,working
female,29,Mikst Nutz - No Hook ,excited,afternoon,work,working
female,29,Sharpshooters feat. Four Fifths - Analyze ,excited,afternoon,work,working
female,29,Shrlock - For What It Was ,excited,afternoon,work,working
female,29,Rhetoric - Love Or The Loot ,excited,afternoon,work,working
female,29,World Renown - Long Gev ,excited,afternoon,work,working
