User,spot_danceability,spot_energy,spot_loudness,spot_speechiness,spot_acousticness,spot_instrumentalness,spot_liveness,spot_valence,Class
1,0.61,0.519,-9.618,0.0303,0.705,1.54e-05,0.0868,0.656,happy_at_other_while_amusing
1,0.71,0.51,-10.252,0.0244,0.182,3.77e-05,0.11,0.762,happy_at_other_while_amusing
1,0.567,0.372,-12.421,0.0299,0.808,0.57,0.0852,0.323,happy_at_other_while_amusing
1,0.564,0.529,-10.984,0.0257,0.586,0.503,0.089,0.801,happy_at_other_while_amusing
1,0.577,0.501,-9.851,0.029,0.153,0.0083,0.246,0.701,happy_at_other_while_amusing
1,0.722,0.629,-6.764,0.0247,0.751,0.472,0.1,0.566,happy_at_other_while_amusing
1,0.605,0.176,-12.14,0.0306,0.86,0.299,0.106,0.136,happy_at_other_while_amusing
1,0.751,0.781,-6.702,0.0324,0.101,1.63e-05,0.361,0.963,calm_at_home_while_working
1,0.606,0.298,-16.072,0.0431,0.781,0.00011,0.0927,0.343,calm_at_home_while_working
1,0.369,0.443,-14.892,0.0311,0.716,0.0392,0.163,0.612,calm_at_home_while_working
1,0.397,0.528,-8.571,0.0693,0.835,2.71e-05,0.979,0.527,calm_at_home_while_working
1,0.524,0.883,-3.863,0.15,0.441,0,0.0793,0.785,calm_at_home_while_working
1,0.726,0.837,-6.666,0.031,0.485,0.136,0.124,0.922,calm_at_home_while_working
1,0.601,0.443,-6.752,0.0291,0.568,1.65e-05,0.142,0.531,calm_at_home_while_working
1,0.557,0.378,-14.288,0.0382,0.715,1.91e-05,0.139,0.642,calm_at_home_while_working
1,0.682,0.448,-10.949,0.028,0.879,0.0138,0.193,0.557,calm_at_home_while_working
1,0.667,0.368,-13.637,0.0452,0.668,0,0.344,0.432,calm_at_home_while_working
1,0.525,0.532,-5.615,0.0277,0.751,0,0.122,0.407,calm_at_home_while_working
1,0.69,0.535,-11.004,0.0261,0.371,2.1e-05,0.299,0.48,calm_at_home_while_working
1,0.57,0.31,-15.254,0.0374,0.805,0.000102,0.0966,0.621,calm_at_home_while_working
1,0.855,0.398,-10.072,0.0583,0.594,4.33e-06,0.136,0.888,calm_at_home_while_working
1,0.761,0.571,-7.388,0.0316,0.626,0,0.0884,0.791,calm_at_home_while_working
1,0.649,0.354,-11.129,0.0302,0.475,5.05e-06,0.308,0.416,calm_at_home_while_working
1,0.371,0.759,-4.385,0.0379,0.066,0,0.484,0.536,calm_at_home_while_working
1,0.607,0.294,-16.187,0.0287,0.865,0,0.115,0.711,calm_at_home_while_working
1,0.504,0.865,-4.099,0.0504,0.177,0.000895,0.345,0.543,relaxed_at_home_while_amusing
1,0.4,0.482,-10.165,0.0338,0.0311,0.000101,0.199,0.521,relaxed_at_home_while_amusing
1,0.515,0.682,-6.015,0.0298,0.183,3.93e-05,0.0705,0.729,relaxed_at_home_while_amusing
1,0.547,0.81,-7.776,0.0571,0.224,0.0573,0.106,0.768,relaxed_at_home_while_amusing
1,0.676,0.92,-5.823,0.269,0.138,0.0107,0.238,0.434,relaxed_at_home_while_amusing
1,0.435,0.563,-7.367,0.0303,0.18,0.00823,0.0912,0.183,relaxed_at_home_while_amusing
1,0.367,0.877,-5.026,0.0656,0.00286,0.00224,0.192,0.941,relaxed_at_home_while_amusing
1,0.275,0.449,-11.616,0.0292,0.156,0.0172,0.152,0.235,relaxed_at_home_while_amusing
1,0.595,0.339,-11.072,0.0456,0.809,0,0.944,0.329,relaxed_at_home_while_amusing
1,0.437,0.968,-4.267,0.0806,0.0244,0.865,0.072,0.744,relaxed_at_home_while_amusing
1,0.565,0.437,-10.445,0.0337,0.841,0.365,0.0983,0.416,relaxed_at_home_while_amusing
1,0.671,0.253,-13.234,0.0515,0.889,0.00702,0.14,0.392,relaxed_at_home_while_amusing
1,0.522,0.334,-8.296,0.0293,0.589,0.0332,0.104,0.314,relaxed_at_home_while_amusing
1,0.419,0.683,-4.76,0.0663,0.723,0.00395,0.115,0.343,relaxed_at_home_while_amusing
1,0.636,0.705,-9.264,0.146,0.00369,3.66e-05,0.114,0.496,relaxed_at_home_while_amusing
1,0.343,0.692,-5.312,0.0295,0.00588,0.0235,0.0871,0.197,relaxed_at_home_while_amusing
1,0.533,0.854,-6.648,0.0662,0.268,0.0748,0.95,0.732,relaxed_at_home_while_amusing
1,0.437,0.839,-6.505,0.0638,0.0761,0.0569,0.766,0.627,relaxed_at_home_while_amusing
